Warning: NaN result encountered.
         Current function value: nan
         Iterations: 0
         Function evaluations: 1
         Gradient evaluations: 1
         11354023 function calls (11182927 primitive calls) in 24.862 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      986    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1199    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:369(__init__)
     2112    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:403(cached)
     7387    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(parent)
     1163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
     1131    0.008    0.000    0.036    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
1131/1127    0.003    0.000    0.595    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
     1196    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:593(_module_repr_from_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
  1132/15    0.008    0.000    3.019    0.201 <frozen importlib._bootstrap>:663(_load_unlocked)
     1158    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     2144    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:78(acquire)
     1153    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:792(find_spec)
     3485    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
     3485    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:859(__exit__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:864(_resolve_name)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
     1158    0.013    0.000    0.219    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
  1172/14    0.007    0.000    3.022    0.216 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1187/17    0.011    0.000    3.023    0.178 <frozen importlib._bootstrap>:978(_find_and_load)
       20    0.000    0.000    0.072    0.004 <frozen importlib._bootstrap>:994(_gcd_import)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
  140/137    0.001    0.000    0.553    0.004 <frozen importlib._bootstrap_external>:1040(create_module)
  140/107    0.000    0.000    0.214    0.002 <frozen importlib._bootstrap_external>:1048(exec_module)
      130    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1873    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1225(_legacy_get_spec)
     1153    0.006    0.000    0.197    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1153    0.002    0.000    0.199    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      130    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     1040    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
     1126    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1687    0.023    0.000    0.167    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      130    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      130    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
      130    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     1972    0.010    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1687    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     1126    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      986    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      986    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      986    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     2958    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      986    0.006    0.000    0.257    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     9001    0.011    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     1126    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     9001    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1972    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      986    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
   986/14    0.006    0.000    3.015    0.215 <frozen importlib._bootstrap_external>:722(exec_module)
     4325    0.003    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      986    0.020    0.000    0.685    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     1652    0.003    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      986    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      986    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      986    0.069    0.000    0.366    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1522    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      986    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      130    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.001    0.001 <string>:1(<module>)
      644    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.004    0.004 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
