         314237720 function calls (309171621 primitive calls) in 2552.880 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
11644397/9940132 1876.145    0.000 1927.347    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   121106    1.275    0.000   58.698    0.000 lax_numpy.py:2509(concatenate)
        1    1.261    1.261    1.769    1.769 dataset.py:31(interpolate_mask)
  1118393    1.260    0.000    1.276    0.000 {built-in method builtins.sorted}
   393359    1.217    0.000    6.645    0.000 abstract_arrays.py:37(make_shaped_array)
    55807    1.217    0.000    6.356    0.000 lax.py:4081(_gather_shape_rule)
   131128    1.182    0.000   14.576    0.000 lax.py:2001(standard_abstract_eval)
  2393205    1.179    0.000    1.179    0.000 {built-in method __new__ of type object at 0x10c9def70}
   223925    1.131    0.000    8.413    0.000 lax_numpy.py:2654(array)
    55800    1.120    0.000    1.322    0.000 xla.py:79(_device_put_unit)
  2449727    1.108    0.000    1.108    0.000 {method 'mro' of 'type' objects}
  1197451    1.098    0.000    6.931    0.000 {method 'all' of 'numpy.ndarray' objects}
37203/37200    1.076    0.000   33.116    0.001 api.py:352(f_jitted)
   338297    1.066    0.000    4.432    0.000 util.py:93(partial)
   523263    1.047    0.000    5.104    0.000 xla.py:156(_canonicalize_ndarray_dtype)
   290001    1.045    0.000    1.149    0.000 util.py:25(safe_zip)
  1801248    1.045    0.000    1.045    0.000 core.py:708(cur_sublevel)
  3070856    1.032    0.000    1.032    0.000 xla.py:1120(dtype)
   878525    0.983    0.000    4.533    0.000 lax_numpy.py:110(__instancecheck__)
   326594    0.973    0.000   13.720    0.000 ad.py:167(write_cotangent)
37359/155    0.944    0.000  552.630    3.565 traceback_util.py:136(reraise_with_filtered_traceback)
      360    0.942    0.003    0.949    0.003 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   177422    0.932    0.000    0.932    0.000 {built-in method jaxlib.xla_extension.get_traceback}
  2644022    0.926    0.000    0.926    0.000 xla.py:1116(shape)
   940018    0.917    0.000    1.335    0.000 numerictypes.py:293(issubclass_)
  2059004    0.905    0.000    1.220    0.000 {built-in method builtins.issubclass}
   470009    0.905    0.000    2.325    0.000 numerictypes.py:365(issubdtype)
   112321    0.900    0.000  312.315    0.003 lax_numpy.py:4099(_rewriting_take)
1604108/1603956    0.889    0.000    6.477    0.000 _asarray.py:16(asarray)
   130205    0.889    0.000   14.640    0.000 lax.py:1452(_device_put_raw)
