         30023233 function calls (29541370 primitive calls) in 52.324 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4620    0.110    0.000    0.284    0.000 function_base.py:4436(insert)
   766194    0.110    0.000    0.110    0.000 {method 'strip' of 'str' objects}
    22872    0.107    0.000    0.107    0.000 {method 'take' of 'numpy.ndarray' objects}
    24121    0.105    0.000    0.357    0.000 fromnumeric.py:42(_wrapit)
     5583    0.104    0.000    0.165    0.000 function_base.py:1147(diff)
    73483    0.103    0.000    0.310    0.000 config.py:142(__getattr__)
    48337    0.103    0.000    0.534    0.000 core.py:1116(raise_to_shaped)
    57300    0.102    0.000    1.177    0.000 core.py:541(__getattr__)
140510/138528    0.102    0.000    0.193    0.000 core.py:775(full_lower)
     9301    0.102    0.000    2.956    0.000 lax.py:3502(expand_dims)
    89791    0.100    0.000    0.102    0.000 {built-in method builtins.sorted}
    34238    0.100    0.000    0.305    0.000 dtypes.py:151(issubdtype)
8594/4620    0.099    0.000    2.855    0.001 core.py:1198(call_bind)
   186090    0.099    0.000    0.099    0.000 {built-in method __new__ of type object at 0x10a6b0f70}
150514/127468    0.098    0.000    0.169    0.000 artist.py:219(stale)
   110497    0.096    0.000    0.140    0.000 xla.py:1277(is_device_constant)
    11987    0.094    0.000    0.094    0.000 {built-in method posix.lstat}
     8930    0.093    0.000    4.607    0.001 lax_numpy.py:2509(concatenate)
    39756    0.092    0.000    0.581    0.000 dtypes.py:189(_jax_type)
     5658    0.092    0.000    0.092    0.000 {built-in method posix.stat}
     3360    0.090    0.000    0.721    0.000 lines.py:273(__init__)
   130632    0.088    0.000    0.088    0.000 core.py:370(__init__)
   130632    0.088    0.000    0.088    0.000 core.py:708(cur_sublevel)
    28901    0.086    0.000    0.466    0.000 abstract_arrays.py:37(make_shaped_array)
    10385    0.085    0.000    0.090    0.000 transforms.py:164(set_children)
   143689    0.084    0.000    0.158    0.000 __init__.py:811(__getitem__)
     9584    0.084    0.000    1.027    0.000 lax.py:2001(standard_abstract_eval)
     3967    0.082    0.000    0.438    0.000 lax.py:4081(_gather_shape_rule)
    16565    0.081    0.000    0.594    0.000 lax_numpy.py:2654(array)
    25584    0.080    0.000    0.339    0.000 util.py:93(partial)
     3960    0.079    0.000    0.094    0.000 xla.py:79(_device_put_unit)
    90389    0.079    0.000    0.514    0.000 {method 'all' of 'numpy.ndarray' objects}
2643/2640    0.075    0.000    2.443    0.001 api.py:352(f_jitted)
   177678    0.074    0.000    0.074    0.000 {method 'mro' of 'type' objects}
140315/140194    0.071    0.000    0.515    0.000 _asarray.py:16(asarray)
   219819    0.071    0.000    0.071    0.000 xla.py:1120(dtype)
   160552    0.070    0.000    0.094    0.000 {built-in method builtins.issubclass}
    64332    0.070    0.000    0.316    0.000 lax_numpy.py:110(__instancecheck__)
     8641    0.070    0.000   22.541    0.003 lax_numpy.py:4099(_rewriting_take)
    28615    0.070    0.000    0.080    0.000 contextlib.py:81(__init__)
    68552    0.070    0.000    0.101    0.000 numerictypes.py:293(issubclass_)
    20857    0.069    0.000    0.076    0.000 util.py:25(safe_zip)
